District,Firm Name,City,State,Zip,Country/Area,Inspection End Date,Project Area,Center/Program Area,Inspection Classification
ATL,Wake Forest Baptist Health- Blood Bank Hospital,Winston Salem,NC,27157-1072,United States,2/23/2005,Blood and Blood Products,CBER,NAI
SEA,AAA Laboratory,Mercer Island,WA,98040-4512,United States,3/3/2005,Bioresearch Monitoring,CDER,NAI
NYK,University of Buffalo-State University of New York,Buffalo,NY,14214,United States,3/4/2005,Project Evaluation: Devices,CDRH,OAI
DEN,Colorado Pathology Services,Collbran,CO,81624-9722,United States,3/7/2005,Bioresearch Monitoring,CDER,NAI
MIN,Charles River Laboratories,Marine On Saint Croix,MN,55047,United States,3/23/2005,Project Evaluation: Devices,CDRH,NAI
NWE,"Pine Acres Rabbitry/Farm, Inc.",Norton,MA,02766-2419,United States,3/24/2005,Project Evaluation: Devices,CDRH,VAI
BLT,Thomas D Morris Inc,Reisterstown,MD,21136-3827,United States,3/25/2005,Project Evaluation: Devices,CDRH,OAI
MIN,"Surpass, Inc.",Osceola,WI,54020-8104,United States,3/30/2005,Project Evaluation: Devices,CDRH,VAI
NWJ,Hoffmann La Roche Inc,Nutley,NJ,07110-1150,United States,4/4/2005,Bioresearch Monitoring,CDER,VAI
KAN,"Catalent CTS, LLC",Kansas City,MO,64137-1418,United States,4/5/2005,Bioresearch Monitoring,CDER,NAI
NWE,Labcorp Bedford LLC.,Bedford,MA,01730-2314,United States,4/5/2005,Project Evaluation: Devices,CDRH,VAI
BLT,"Institute for In Vitro Sciences, Inc.",Gaithersburg,MD,20878-4005,United States,4/12/2005,Bioresearch Monitoring,CDER,VAI
KAN,Clinical Reference Labs Inc,Lenexa,KS,66215-2802,United States,4/12/2005,Bioresearch Monitoring,CDER,NAI
CIN,"Charles River Laboratories Ashland, LLC",Ashland,OH,44805-8946,United States,4/18/2005,Bioresearch Monitoring,CDER,NAI
KAN,Washington University,Saint Louis,MO,63110-1001,United States,4/21/2005,Project Evaluation: Devices,CDRH,VAI
LOS,"Allergan Sales, LLC",Irvine,CA,92612-1531,United States,4/22/2005,Bioresearch Monitoring,CDER,NAI
KAN,Bayer Cropscience Lp,Stilwell,KS,66085-9325,United States,4/25/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NWJ,Sanofi-Aventis U.S. LLC,Bridgewater,NJ,08807-1265,United States,4/25/2005,Bioresearch Monitoring,CDER,VAI
DET,"Inotiv, Inc",Mount Vernon,IN,47620-9627,United States,4/28/2005,Bioresearch Monitoring,CDER,NAI
SAN,Instiutional Animal Care and Use Committee at UCSF,San Francisco,CA,94143-0001,United States,4/29/2005,Project Evaluation: Devices,CDRH,NAI
NWJ,"Labcorp Early Development Laboratories, Inc.",Somerset,NJ,08873-7378,United States,5/6/2005,Bioresearch Monitoring,CDER,VAI
CIN,"North American Science Associates, LLC",Northwood,OH,43619-1012,United States,5/9/2005,Bioresearch Monitoring,CDER,OAI
CIN,"North American Science Associates, LLC",Northwood,OH,43619-1012,United States,5/9/2005,Project Evaluation: Devices,CDRH,VAI
ATL,"Synchrony Labs, LLC",Durham,NC,27703-8226,United States,5/12/2005,Project Evaluation: Devices,CDRH,VAI
MIN,Clement J. Zablocki VA Medical Center,Milwaukee,WI,53295-0001,United States,5/18/2005,Project Evaluation: Devices,CDRH,NAI
MIN,Medical College of WI,Milwaukee,WI,53226-3548,United States,5/18/2005,Project Evaluation: Devices,CDRH,OAI
MIN,MCW Lab at Marquette,Milwaukee,WI,53233-2214,United States,5/19/2005,Project Evaluation: Devices,CDRH,OAI
DAL,Cavl Diagnostics,Amarillo,TX,79118,United States,6/3/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Alza Corp,Vacaville,CA,95688-9470,United States,6/13/2005,Bioresearch Monitoring,CDER,NAI
NWE,"Charles River Laboratories, Inc.",Wilmington,MA,01887-1096,United States,6/15/2005,Bioresearch Monitoring,CDER,VAI
SAN,Pacific BioLabs,Hercules,CA,94547-1830,United States,6/17/2005,Bioresearch Monitoring,CDER,NAI
DEN,Charles River Laboratories,Boulder,CO,80301-4230,United States,6/18/2005,Bioresearch Monitoring,CDER,NAI
OII,"Chinoin Co., Ltd. - Ferenc Levai",Budapest Iv,,,Hungary,6/23/2005,Bioresearch Monitoring,CDER,VAI
BLT,"Covance Laboratories, Inc.",Vienna,VA,22182-1656,United States,6/24/2005,Bioresearch Monitoring,CDER,VAI
MIN,"Medtox Laboratories, Inc.",Saint Paul,MN,55112-3522,United States,6/28/2005,Bioresearch Monitoring,CDER,VAI
KAN,K U Medical Center Research,Kansas City,KS,66160-0001,United States,6/29/2005,Project Evaluation: Devices,CDRH,NAI
KAN,Boehringer Ingelheim Vetmedica Inc,Saint Joseph,MO,64506-2002,United States,7/13/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DAL,Texas Heart Institute,Houston,TX,77030-2607,United States,7/20/2005,Project Evaluation: Devices,CDRH,VAI
NWJ,Fort Dodge Animal Health,Monmouth Junction,NJ,08852-1919,United States,7/22/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CIN,Neogen Corporation,Lexington,KY,40511-1001,United States,7/29/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
DEN,"Helzer, Jim",Windsor,CO,80550,United States,8/2/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,Colorado Horse Company,Fort Collins,CO,80528-9570,United States,8/8/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SAN,"Bayer HealthCare, LLC",Berkeley,CA,94710-2428,United States,8/9/2005,Vaccines and Allergenic Products,CBER,NAI
DAL,University of Oklahoma Health Science Center,Oklahoma City,OK,73104-5047,United States,8/10/2005,Project Evaluation: Devices,CDRH,OAI
NWJ,Novartis Pharmaceuticals Corporation,East Hanover,NJ,07936-1016,United States,8/11/2005,Bioresearch Monitoring,CDER,VAI
DEN,"Nelson Laboratories, LLC",Salt Lake City,UT,84123-6600,United States,8/19/2005,Project Evaluation: Devices,CDRH,NAI
DEN,"Colorado State University,  College of Veterinary Medicine",Fort Collins,CO,80523-0001,United States,8/22/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
CIN,Ethicon Endo-Surgery Inc,Blue Ash,OH,45242-2803,United States,8/26/2005,Project Evaluation: Devices,CDRH,NAI
DET,Bristol-Myers Squibb Company,Mount Vernon,IN,47620,United States,8/26/2005,Bioresearch Monitoring,CDER,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,8/26/2005,Bioresearch Monitoring,CDER,VAI
BLT,"BIOCON, Incorporated",Rockville,MD,20850-1360,United States,8/30/2005,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
NWE,Pfizer Inc. Groton Laboratories,Groton,CT,06340,United States,9/1/2005,Bioresearch Monitoring,CDER,VAI
DAL,"Worldwide Clinical Trials Early Phase Servcies/Bioanalytical Sciences, Inc.",Austin,TX,78754-4565,United States,9/2/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"Techlab, Inc.",Blacksburg,VA,24060-6358,United States,9/8/2005,Bioresearch Monitoring,CDER,NAI
SAN,HMS Veterinary Development Inc,Tulare,CA,93274-9730,United States,9/9/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"BASi Gaithersburg, LLC ",Gaithersburg,MD,20878-1759,United States,9/12/2005,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
NWJ,Bristol-Myers Squibb Company,New Brunswick,NJ,08901-1588,United States,9/14/2005,Bioresearch Monitoring,CDER,NAI
NYK,Eastman Kodak Co. Health & Environment Laboratories,Rochester,NY,14652-0001,United States,9/14/2005,Food and Color Additives Petition Review,CFSAN,NAI
DAL,Stillmeadow Incorporated,Sugar Land,TX,77478-2521,United States,9/15/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DET,"Pfizer, Inc.",Ann Arbor,MI,48105-2430,United States,9/15/2005,Bioresearch Monitoring,CDER,VAI
NWJ,"Eurofins Scientific, Inc.",East Brunswick,NJ,08816-3206,United States,9/15/2005,Bioresearch Monitoring,CDER,VAI
NWJ,Product Safety Labs,Dayton,NJ,08810-1500,United States,9/15/2005,Bioresearch Monitoring,CDER,VAI
NYK,Pfizer Research Chazy DSRD,Chazy,NY,12921-2420,United States,9/15/2005,Bioresearch Monitoring,CDER,NAI
CHI,"Tox Monitor Laboratories, Inc.",Oak Park,IL,60302-2401,United States,9/16/2005,Bioresearch Monitoring,CDER,VAI
NWJ,"Merck & Co., Inc.",Springfield,NJ,07081-3121,United States,9/16/2005,Bioresearch Monitoring,CDER,VAI
CIN,Chempharma International LLC,Richmond,KY,40475-8488,United States,9/21/2005,Bioresearch Monitoring,CDER,NAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,9/21/2005,Bioresearch Monitoring,CDER,NAI
NWJ,Intervet Inc. (d/b/a Merck Animal Health),Rahway,NJ,07065,United States,9/22/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SEA,MDS Pharma Services,Bothell,WA,98021-4903,United States,9/22/2005,Bioresearch Monitoring,CDER,VAI
CIN,Procter & Gamble Co,Cincinnati,OH,45252,United States,9/23/2005,Food and Color Additives Petition Review,CFSAN,NAI
DAL,Texas Biomedical Research Institute,San Antonio,TX,78227-5302,United States,9/23/2005,Bioresearch Monitoring,CDER,VAI
DAL,The Methodist Hospital Research Institute,Houston,TX,77030-2602,United States,9/27/2005,Project Evaluation: Devices,CDRH,VAI
DET,Pfizer Animal Health,Kalamazoo,MI,49001,United States,9/28/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,Charles River Laboratories Preclinical Services,Worcester,MA,01608-1114,United States,9/28/2005,Bioresearch Monitoring,CDER,NAI
MIN,Medtronic Physiological Research Lab,Minneapolis,MN,55448-3105,United States,9/29/2005,Project Evaluation: Devices,CDRH,VAI
NOL,Southern Research Institute,Birmingham,AL,35205-2708,United States,9/29/2005,Vaccines and Allergenic Products,CBER,NAI
LOS,Pfizer Inc.,San Diego,CA,92121-1151,United States,9/30/2005,Bioresearch Monitoring,CDER,VAI
NWE,"Boehringer Ingelheim Pharmaceuticals, Inc.",Ridgefield,CT,06877-1058,United States,9/30/2005,Bioresearch Monitoring,CDER,VAI
CHI,Abbott Laboratories,Abbott Park,IL,60064-3502,United States,10/5/2005,Bioresearch Monitoring,CDER,NAI
DET,"Pfizer, Inc.",Kalamazoo,MI,49007-4931,United States,10/5/2005,Bioresearch Monitoring,CDER,VAI
BLT,"Experimental Pathology Laboratories, Inc.",Sterling,VA,20166-4302,United States,10/18/2005,Food and Color Additives Petition Review,CFSAN,NAI
BLT,Bioreliance Corporation,Rockville,MD,20850-3304,United States,10/20/2005,Food and Color Additives Petition Review,CFSAN,VAI
BLT,Bioreliance Corporation,Rockville,MD,20850-3304,United States,10/20/2005,Project Evaluation: Devices,CDRH,VAI
PHI,"Millenium Bioresearch Laboratories, Inc",Spinnerstown,PA,18968,United States,10/21/2005,Bioresearch Monitoring,CDER,VAI
PHI,University of Pittsburgh,Pittsburgh,PA,15260,United States,11/1/2005,Project Evaluation: Devices,CDRH,VAI
NWE,"Charles River Laboratories, Discovery and Development Servic",Southbridge,MA,01550-3114,United States,11/3/2005,Project Evaluation: Devices,CDRH,NAI
BLT,Bioqual Inc,Rockville,MD,20850-3336,United States,11/14/2005,Bioresearch Monitoring,CDER,VAI
CHI,"Experimur, A Frontage Company",Chicago,IL,60609-2514,United States,11/28/2005,Bioresearch Monitoring,CDER,VAI
KAN,"Sinclair Research Center, LLC",Auxvasse,MO,65231-1012,United States,11/29/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NOL,University of Louisiana at Lafayette New Iberia Research Ctr,New Iberia,LA,70560-8768,United States,12/15/2005,Bioresearch Monitoring,CDER,NAI
NOL,University of Louisiana at Lafayette New Iberia Research Ctr,New Iberia,LA,70560-8768,United States,12/15/2005,Food and Color Additives Petition Review,CFSAN,VAI
NOL,University of Louisiana at Lafayette New Iberia Research Ctr,New Iberia,LA,70560-8768,United States,12/15/2005,"Human Cellular, Tissue, and Gene Therapies",CBER,VAI
OII,Korea Institute of Toxicology,Daejeon,,,Korea (the Republic of),12/16/2005,Bioresearch Monitoring,CDER,OAI
NWJ,Merial Limited,N Brunswick,NJ,08902-3390,United States,12/19/2005,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SEA,"Nelson Laboratories Bozeman, LLC",Bozeman,MT,59718-5430,United States,1/26/2006,Bioresearch Monitoring,CDER,NAI
DEN,Lovelace Biomedical Research Institute,Albuquerque,NM,87185,United States,1/27/2006,Bioresearch Monitoring,CDER,VAI
KAN,Intervet Inc,De Soto,KS,66018-7103,United States,2/14/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,Merck Sharp & Dohme LLC,West Point,PA,19486,United States,2/14/2006,Bioresearch Monitoring,CDER,NAI
BLT,"Taconic Farms,  Inc.",Rockville,MD,20855-2701,United States,2/15/2006,Bioresearch Monitoring,CDER,VAI
CIN,Battelle Biomedical Research Center,West Jefferson,OH,43162,United States,2/16/2006,Bioresearch Monitoring,CDER,VAI
KAN,Charles River Labs,Lees Summit,MO,64086-4722,United States,2/28/2006,Food and Color Additives Petition Review,CFSAN,NAI
CIN,"Frontage Laboratories, Inc.",Concord Township,OH,44077-9041,United States,3/3/2006,Bioresearch Monitoring,CDER,VAI
KAN,MRIGlobal,Kansas City,MO,64110-2241,United States,3/28/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,Biomedical Engineering & Experimental Cardiovascular Center,Cambridge,MA,02139,United States,3/30/2006,Project Evaluation: Devices,CDRH,VAI
NWJ,"Xenobiotic Laboratories, Inc.",Plainsboro,NJ,08536-3339,United States,4/24/2006,Bioresearch Monitoring,CDER,VAI
NWJ,"Xenobiotic Laboratories, Inc.",Plainsboro,NJ,08536-3339,United States,4/24/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NWJ,"inVentiv Health Clinical Lab, Inc.",Princeton,NJ,08540-6608,United States,5/4/2006,Bioresearch Monitoring,CDER,VAI
BLT,"HistoScientific Research Laboratories (HSRL), Inc.",Mount Jackson,VA,22842-9404,United States,5/8/2006,Bioresearch Monitoring,CDER,NAI
SAN,Experimental Coronary Intervention Laboratories,Stanford,CA,94305,United States,5/10/2006,Project Evaluation: Devices,CDRH,NAI
DEN,University of Arizona,Tucson,AZ,85713,United States,5/15/2006,Project Evaluation: Devices,CDRH,NAI
NWE,"Smithers ERS, LLC",Wareham,MA,02571-1037,United States,5/18/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
SEA,"Altasciences Preclinical Seattle, LLC",Everett,WA,98203-5898,United States,5/19/2006,Bioresearch Monitoring,CDER,NAI
SEA,Us Fish & Wildlife Svc,Bozeman,MT,59715-8433,United States,5/26/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,5/30/2006,Bioresearch Monitoring,CDER,NAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,5/30/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
PHI,"Penn St. Hershey Medical Center, Dept. Comparative Medicine",Hershey,PA,17033-2360,United States,5/31/2006,Project Evaluation: Devices,CDRH,NAI
NWE,Abbott Medical,Westford,MA,01886-4113,United States,6/1/2006,Project Evaluation: Devices,CDRH,NAI
BLT,Charles River Laboratories Inc.,Frederick,MD,21701-3019,United States,6/2/2006,Bioresearch Monitoring,CDER,NAI
BLT,Charles River Laboratories Inc.,Frederick,MD,21701-3019,United States,6/2/2006,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
DEN,"Qlt Usa, Inc.",Fort Collins,CO,80526-1843,United States,6/15/2006,Bioresearch Monitoring,CDER,NAI
ATL,Catalent Pharma Solutions LLC,Morrisville,NC,27560-9570,United States,6/21/2006,Bioresearch Monitoring,CDER,NAI
DET,"Labcorp Early Development Laboratories, Inc.",Greenfield,IN,46140-8501,United States,6/22/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,"Surpass - Silicon Valley, LLC",Mountain View,CA,94043-2314,United States,6/23/2006,Project Evaluation: Devices,CDRH,VAI
NYK,James J. Peters Veterans Affairs Medical Center,Bronx,NY,10468-3904,United States,6/28/2006,Project Evaluation: Devices,CDRH,NAI
KAN,Linco Diagnostics,Cottleville,MO,63304-5601,United States,7/7/2006,Bioresearch Monitoring,CDER,NAI
BLT,"Quality Associates, Inc",Annapolis Junction,MD,20701-1143,United States,7/10/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,Analytical Biochemistry Laboratories Inc. dba ABC Labs. Inc.,Columbia,MO,65202-8807,United States,7/12/2006,Bioresearch Monitoring,CDER,NAI
MIN,USGS - UMESC,La Crosse,WI,54603-1223,United States,7/17/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DEN,"Colorado State University,  College of Veterinary Medicine",Fort Collins,CO,80523-0001,United States,7/18/2006,Project Evaluation: Devices,CDRH,VAI
NWE,"Pharmaron Lab Services, LLC",Woburn,MA,01801,United States,7/18/2006,Bioresearch Monitoring,CDER,VAI
MIN,Genesis Midwest Laboratories,Neillsville,WI,54456-8773,United States,7/19/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NWE,Millennium Pharmaceuticals Inc.,Cambridge,MA,02139-4234,United States,7/21/2006,Bioresearch Monitoring,CDER,VAI
FLA,University of South Florida-Division of Comparative Medicine,Tampa,FL,33612-4742,United States,7/25/2006,Blood and Blood Products,CBER,NAI
SAN,"Comparative Biosciences, Inc",Sunnyvale,CA,94085-3844,United States,7/26/2006,Bioresearch Monitoring,CDER,VAI
DAL,"Biomedical Research Foundation of South Texas, Inc",San Antonio,TX,78229,United States,7/27/2006,Project Evaluation: Devices,CDRH,OAI
SAN,Labcorp- PMD,San Carlos,CA,94070-5320,United States,8/2/2006,Project Evaluation: Devices,CDRH,VAI
SEA,"Biodevelopment Associates, Llc",Mountlake Terrace,WA,98043-3137,United States,8/4/2006,Project Evaluation: Devices,CDRH,NAI
DAL,Alcon Research LLC,Fort Worth,TX,76134-2099,United States,8/7/2006,Bioresearch Monitoring,CDER,NAI
BLT,EPL Archives Inc.,Sterling,VA,20166-4300,United States,8/11/2006,Food and Color Additives Petition Review,CFSAN,NAI
MIN,"Geneva Laboratories, Inc",Elkhorn,WI,53121-2027,United States,8/11/2006,Project Evaluation: Devices,CDRH,NAI
OII,Charles River Laboratories Edinburgh Ltd.,Tranent,,,United Kingdom,8/11/2006,Bioresearch Monitoring,CDER,VAI
NYK,"Lotte Biologics USA, LLC",East Syracuse,NY,13057-5051,United States,8/14/2006,Bioresearch Monitoring,CDER,NAI
FLA,"University of Miami, Miller School of Med, Office of Researh",Miami,FL,33136,United States,8/16/2006,Project Evaluation: Devices,CDRH,OAI
ATL,Pathology Associates Inc,Cary,NC,27513,United States,8/17/2006,Bioresearch Monitoring,CDER,NAI
OII,International Bio-Institute Corporation,Fergus,,,Canada,8/17/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
NYK,"MBR Waverly, LLC",Waverly,NY,14892-9513,United States,8/23/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
SAN,Roche Bioscience,Palo Alto,CA,94304-1320,United States,8/23/2006,Bioresearch Monitoring,CDER,VAI
CIN,"North American Science Associates, LLC",Northwood,OH,43619-1012,United States,8/25/2006,Food and Color Additives Petition Review,CFSAN,VAI
DAL,"BERTEK, INC.",Greenbrier,AR,72058-0606,United States,9/1/2006,Bioresearch Monitoring,CDER,NAI
NWJ,SGS North America Inc.,Fairfield,NJ,07004-3509,United States,9/5/2006,Project Evaluation: Devices,CDRH,NAI
KAN,"BOEHRINGER INGELHEIM ANIMAL HEALTH USA, INC",Fulton,MO,65251-3318,United States,9/7/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
MIN,"St. Mary's Hospital, Non-clinical Laboratory",Rochester,MN,55902-1906,United States,9/8/2006,Project Evaluation: Devices,CDRH,VAI
CIN,Cardiovascular Innovation Institute,Louisville,KY,40202-1572,United States,9/13/2006,Project Evaluation: Devices,CDRH,VAI
LOS,Cedars Sinai Medical Center GLP,West Hollywood,CA,90048-1804,United States,9/15/2006,Project Evaluation: Devices,CDRH,NAI
LOS,"Pacesetter, Inc.",Los Angeles,CA,90025-7616,United States,9/15/2006,Project Evaluation: Devices,CDRH,OAI
DAL,INCELL Corporation LLC,San Antonio,TX,78249-3424,United States,9/19/2006,Vaccines and Allergenic Products,CBER,OAI
NYK,Roswell Park Cancer Institute,Buffalo,NY,14263-0001,United States,9/22/2006,Bioresearch Monitoring,CDER,NAI
MIN,"Experimental Surgical Services [U of MN, Minneapolis]",Minneapolis,MN,55455,United States,9/28/2006,Project Evaluation: Devices,CDRH,VAI
ATL,"Equi-Tox, Inc.",Central,SC,29630-9601,United States,9/29/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
DAL,UTMB-Galveston,Galveston,TX,77555-5302,United States,9/29/2006,Vaccines and Allergenic Products,CBER,NAI
DEN,Pyxant Labs,Salt Lake City,UT,84124-1214,United States,9/29/2006,Bioresearch Monitoring,CDER,VAI
KAN,Bayer Cropscience Lp,Stilwell,KS,66085-9325,United States,9/29/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
LOS,"University of California, San Diego Dept of Anesthesiology",San Diego,CA,92103-2071,United States,9/29/2006,Bioresearch Monitoring,CDER,VAI
BLT,Southern Research Institute,Frederick,MD,21701-4756,United States,10/2/2006,Vaccines and Allergenic Products,CBER,VAI
DAL,Charles River Laboratories,Redfield,AR,72132,United States,10/5/2006,Bioresearch Monitoring,CDER,NAI
DAL,Charles River Laboratories,Redfield,AR,72132,United States,10/5/2006,Project Evaluation: Devices,CDRH,NAI
PHI,"Calvert Laboratories, Inc.",Scott Township,PA,18447-9600,United States,10/12/2006,Bioresearch Monitoring,CDER,VAI
CIN,Battelle Memorial Institute,Columbus,OH,43201-2696,United States,10/20/2006,Bioresearch Monitoring,CDER,NAI
KAN,University of Iowa Bone Healing Lab,Iowa City,IA,52242,United States,10/20/2006,Vaccines and Allergenic Products,CBER,NAI
LOS,"Amgen, Inc.",Thousand Oaks,CA,91320-1730,United States,10/25/2006,Bioresearch Monitoring,CDER,VAI
BLT,"Noble Life Sciences, Inc",Sykesville,MD,21784-8213,United States,11/14/2006,Vaccines and Allergenic Products,CBER,VAI
OII,Charles River Laboratories Montreal ULC,Senneville,,,Canada,11/16/2006,Bioresearch Monitoring,CDER,NAI
PHI,"Neotropix, Inc.",Malvern,PA,19355-9603,United States,11/21/2006,"Human Cellular, Tissue, and Gene Therapies",CBER,OAI
SAN,Dept. of Environmental Toxicology,Davis,CA,95616-5270,United States,11/30/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
DEN,"Southwest Bio-Labs, Inc.",Las Cruces,NM,88005-8131,United States,12/15/2006,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,VAI
NWJ,Schering Corporation,Lafayette,NJ,07848-4613,United States,12/20/2006,Bioresearch Monitoring,CDER,VAI
BLT,Sitek Research Laboratories,Rockville,MD,20850-6276,United States,12/22/2006,Bioresearch Monitoring,CDER,OAI
DAL,Stillmeadow Incorporated,Sugar Land,TX,77478-2521,United States,1/11/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
BLT,"Ani Lytics, Inc.",Gaithersburg,MD,20877-3490,United States,1/17/2007,Bioresearch Monitoring,CDER,NAI
SEA,"Johnson Research, LLC",Parma,ID,83660,United States,1/18/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
KAN,Risdahl Facility,Roland,IA,50236-8065,United States,1/24/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
MIN,Cardionome Laboratories@College of Pharmacy NDSU,Fargo,ND,58105,United States,2/8/2007,Food and Color Additives Petition Review,CFSAN,NAI
NOL,Southern Research Institute,Birmingham,AL,35205-2708,United States,2/17/2007,Bioresearch Monitoring,CDER,NAI
NOL,Southern Research Institute,Birmingham,AL,35205-2708,United States,2/17/2007,Vaccines and Allergenic Products,CBER,NAI
SEA,Clinical Microbiology Inst.,Wilsonville,OR,97070-9601,United States,2/20/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
CHI,IIT Research Institute,Chicago,IL,60616-3717,United States,3/1/2007,Bioresearch Monitoring,CDER,VAI
BLT,U.S. Army Medical Research Institute of Infectious Diseases,Fort Detrick,MD,21702-5011,United States,3/16/2007,Vaccines and Allergenic Products,CBER,VAI
DEN,Analytical Development Corp,Colorado Springs,CO,80907-3897,United States,3/22/2007,Bioresearch Monitoring,CDER,VAI
SAN,Pacific BioLabs,Hercules,CA,94547-1830,United States,3/29/2007,Project Evaluation: Devices,CDRH,NAI
FLA,National Gene Vector Lab. Toxicology Core Cntr.,Gainesville,FL,32611,United States,3/30/2007,"Human Cellular, Tissue, and Gene Therapies",CBER,NAI
CIN,Charles River Laboratories Inc,Spencerville,OH,45887-1064,United States,4/4/2007,Bioresearch Monitoring,CDER,NAI
LOS,Best American Toxicology Testing Services,Chatsworth,CA,91311-5857,United States,4/4/2007,Bioresearch Monitoring,CDER,NAI
NOL,Tulane National Primate Research Center,Covington,LA,70433-8915,United States,4/12/2007,Project Evaluation: Devices,CDRH,NAI
NOL,Tulane University Health Sciences Center,New Orleans,LA,70112-2632,United States,4/12/2007,Project Evaluation: Devices,CDRH,NAI
NWE,"Lantheus Medical Imaging, Inc.",North Billerica,MA,01862-2849,United States,4/19/2007,Bioresearch Monitoring,CDER,VAI
DET,Charles River Laboratories,Mattawan,MI,49071-8353,United States,4/20/2007,Bioresearch Monitoring,CDER,OAI
PHI,GlaxoSmithKline LLC,King of Prussia,PA,19406-2711,United States,4/20/2007,Bioresearch Monitoring,CDER,VAI
MIN,Medical College of WI,Milwaukee,WI,53226-3548,United States,4/24/2007,Vaccines and Allergenic Products,CBER,NAI
DEN,Sonrise Feeders,Wellington,CO,80549-1709,United States,5/16/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
MIN,"Labcorp Early Development Laboratories, Inc.",Madison,WI,53704-2523,United States,5/18/2007,Bioresearch Monitoring,CDER,VAI
NWJ,"Merck & Co., Inc.",Union,NJ,07083-7120,United States,5/23/2007,Bioresearch Monitoring,CDER,VAI
SAN,"Charles River Laboratories, Inc.",Reno,NV,89511-1227,United States,5/23/2007,Bioresearch Monitoring,CDER,VAI
CHI,Fisheries Research Laboratory- SIU-C,Carbondale,IL,62901-4306,United States,6/5/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,OAI
ATL,Professional Lab & Research,Corapeake,NC,27926-9749,United States,6/7/2007,Pre-Approval Eval. of Animal Drugs and Food Additives,CVM,NAI
OII,MDS Pharma Services,Saint-Laurent,,,Canada,6/7/2007,Bioresearch Monitoring,CDER,VAI
SAN,SRI International,Menlo Park,CA,94025-3453,United States,6/11/2007,Bioresearch Monitoring,CDER,VAI
NYK,Litron Laboratories,Rochester,NY,14623-2860,United States,6/14/2007,Food and Color Additives Petition Review,CFSAN,VAI
DET,"Pfizer, Inc.",Kalamazoo,MI,49007-4931,United States,6/15/2007,Bioresearch Monitoring,CDER,VAI
